Serial numbering for all 3 batches of 3.8s,Date Processed,Flavour,Status,Location,Destination,Number (in silkscreen),Batch,Scans taken?,Shorts on capacitors?,mass (g),hv cap height (mm),connector height (mm),top cu thickness (microns),bot cu thickness (microns),SLDO 1 (kOhms),SLDO 2,SLDO3,SLDO4,Vin drop (V),GND Drop (V),HV leakage (mV on readout card),NTC reading,Temp (°C) (@HV test),humidity (%) (@HV test),Vin drop with jig compensation,GND drop with jig compensation
20UPGPQ0021021,13/08/2020,Thin,PASS,Japan,,21,1,yes,not tested,1.63,1.63,1.44,26,27,"1.15,231.4,1.07,225.6","1.15,231.3,1.07,225.6","1.149,231.4,1.07,225.4","1.15,231.5,1.07,225.4",0.294,0.27,not tested,1.27,24.2,55,0.286,0.259
20UPGPQ0023021,12/08/2020,Thin,,US,,21,3,yes,no,1.611,not tested,not tested,28,27,,,,,0.423,0.13,87,1.44,22,55,0.415,0.119
20UPGPQ0021022,13/08/2020,Thin,PASS,Japan,,22,1,yes,not tested,1.633,1.65,1.5,27,24,"1.15,231.5,1.07,225.4","1.15,231.3,1.07,225.4","1.15,231.5,1.07,225.5","1.15,231.3,1.069,225.4",0.299,0.28,not tested,1.29,24.2,55,0.291,0.269
20UPGPQ0023022,12/08/2020,Thin,,Edinburgh,,22,3,yes,no,1.618,not tested,not tested,28,27,,,,,0.14,0.283,83.1,1.45,22,55,0.132,0.272
20UPGPQ0021023,13/08/2020,Thin,PASS,Japan,,23,1,yes,not tested,1.655,1.66,1.5,23,23,"1.151,231.5,1.07,225.3","1.15,231.5,1.07,225.3","1.150,231.5,1.07,225.5","1.15,231.4,1.07,225.5",0.44,0.3,not tested,1.27,24.2,55,0.432,0.289
20UPGPQ0023023,12/08/2020,Thin,,US,,23,3,yes,no,1.608,not tested,not tested,28,27,,,,,0.299,0.13,101.23,1.41,22,55,0.291,0.119
20UPGPQ0021024,13/08/2020,Thin,PASS,Japan,,24,1,yes,not tested,1.636,1.65,1.48,27,27,"1.15,231.5,1.07,225.5","1.15,231.4,1.07,225.6,","1.15,231.4,1.07,225.4","1.149,231.3,1.07,225.5",0.289,0.29,not tested,1.31,24.3,55,0.281,0.279
20UPGPQ0023024,12/08/2020,Thin,PASS,US,,24,3,yes,no,1.617,not tested,not tested,29,29,,,,,0.433,0.11,92.55,1.43,22,55,0.425,0.099
20UPGPQ0021025,13/08/2020,Thin,PASS,Argonne,,25,1,yes,no,1.584,not tested,not tested,24,29,,,,,0.339,0.32,7,1.33,22,52,0.331,0.309
20UPGPQ0021026,13/08/2020,Thin,PASS,Edinburgh,,26,1,yes,no,1.589,not tested,not tested,25,26,,,,,0.319,0.28,11,1.33,22,52,0.311,0.269
20UPGPQ0022026,,,PASS,,,26,2,yes,reworked,1.588,,,,,,,,,0.343,0.12,31.63,1.44,,,,
20UPGPQ0021027,13/08/2020,Thin,PASS,Argonne,,27,1,yes,no,1.587,not tested,not tested,27,27,,,,,0.339,0.31,8,1.31,22,52,0.331,0.299
20UPGPQ0021028,13/08/2020,Thin,PASS,Edinburgh,,28,1,yes,reworked,1.598,not tested,not tested,27,25,,,,,0.339,0.3,8,1.3,22,52,0.331,0.289
20UPGPQ0021029,13/08/2020,Thin,PASS,Argonne,,29,1,yes,no,1.634,not tested,not tested,24,28,,,,,0.339,0.3,9,1.28,22,52,0.331,0.289
20UPGPQ0021030,13/08/2020,Thin,PASS,Argonne,,30,1,yes,no,1.62,not tested,not tested,25,26,,,,,0.399,0.27,9,1.32,22,52,0.391,0.259
20UPGPQ0021031,13/08/2020,Thin,PASS,CERN,,31,1,yes,No,1.64,not tested,not tested,27,29,,,,,0.339,0.29,5,1.32,22,52,0.331,0.279
20UPGPQ0021032,13/08/2020,Thin,PASS,CERN,,32,1,yes,No,1.638,not tested,not tested,27,26,,,,,0.349,0.27,6,1.32,22,52,0.341,0.259
20UPGPQ0021033,13/08/2020,Thin,PASS,CERN,,33,1,yes,No,1.59,not tested,not tested,25,23,,,,,0.32,0.29,9,1.26,22,52,0.312,0.279
20UPGPQ0021034,13/08/2020,Thin,PASS,CERN,,34,1,yes,No,1.63,not tested,not tested,25,24,,,,,0.319,0.28,8,1.33,22,52,0.311,0.269
20UPGPQ0021035,13/08/2020,Thin,PASS,CERN,,35,1,yes,No,1.606,not tested,not tested,28,25,,,,,0.359,0.3,13,1.27,24.1,52,0.351,0.289
20UPGPQ0021036,13/08/2020,Thin,PASS,Japan,,36,1,yes,not tested,1.631,not tested,not tested,28,27,"1.15,231.6,1.071,225.6",,,,0.299,0.25,not tested,1.24,24.1,52,0.291,0.239
20UPGPQ0021041,13/08/2020,Thin,PASS,Argonne,,41,1,yes,no,1.597,not tested,not tested,24,24,,,,,0.349,0.31,6,1.29,24,52,0.341,0.299
20UPGPQ0023041,11/09/2020,Thin,PASS,US,,41,3,yes,no,1.61,not tested,not tested,25,26,,,,,0.293,0.12,62.12,1.44,22,52,0.285,0.109
20UPGPQ0021042,13/08/2020,Thin,PASS,argonne,,42,1,yes,no,1.616,not tested,not tested,25,24,,,,,0.319,0.29,5,1.26,22,52,0.311,0.279
20UPGPQ0023042,09/09/2020,Thin,PASS,Edinburgh,,42,3,yes,no,1.634,not tested,not tested,26,27,,,,,0.283,0.12,57.03,1.5,22,52,0.275,0.109
20UPGPQ0021043,13/08/2020,Thin,PASS,Edinburgh,,43,1,yes,reworked,1.603,not tested,not tested,25,25,,,,,0.349,0.3,8,1.29,22,52,0.341,0.289
