VPX14757-W773_Striptest_001.dat
Hamamatsu ATLAS12 VPX14757 W773
project: S
componentType: SENSOR
testType: SENSOR_STRIP_TEST
component: 20USBSL0000773
date: 06.06.2019
runNumber: 12
SENSOR_TEST_TT: 11:08:09
SENSOR_TEST_SN: ???
passed: false
problems: false
institution: GL
Full Strip Test - Segment	1
SENSOR_TEST_VB: -150
SENSOR_TEST_FREQ: 1
W-K6440B,
SENSOR_TEST_MU: Keithley 2410
SENSOR_TEST_TEMP: 19.1
SENSOR_TEST_HUMIDITY: 45.6
5: 1280
%%SENSOR_TEST_PPI/% %%SENSOR_TEST_CURRENT/% %%SENSOR_TEST_CAP/% %%SENSOR_TEST_RES/%
0000428.00 0000000.56 0000067.53 0000001.37
0000429.00 0000000.51 0000065.84 0000001.38
0000430.00 0000004.38 0000067.45 0000001.37
0000431.00 0000000.47 0000065.98 0000001.38
0000432.00 0000001.24 0000068.02 0000001.37
0000433.00 0000000.91 0000065.77 0000001.38
0000434.00 0000004.22 0000067.13 0000001.38
0000435.00 0000000.33 0000065.73 0000001.38
0000436.00 0000000.71 0000067.27 0000001.38
0000437.00 0000000.73 0000065.73 0000001.39
0000438.00 0000002.06 0000067.29 0000001.38
0000439.00 0000000.73 0000065.69 0000001.38
0000440.00 0000001.04 0000067.27 0000001.38
0000441.00 0000000.77 0000065.64 0000001.38
0000442.00 0000001.71 0000066.87 0000001.39
0000443.00 0000000.08 0000065.66 0000001.38
0000444.00 0000000.66 0000066.98 0000001.38
0000445.00 0000000.18 0000065.55 0000001.38
0000446.00 0000001.86 0000066.94 0000001.38
0000447.00 0000000.45 0000065.25 0000001.38
0000448.00 0000000.04 0000066.32 0000001.37
0000449.00 0000001.45 0000065.10 0000001.38
0000450.00 0000000.73 0000066.80 0000001.36
0000451.00 0000000.56 0000065.82 0000001.37
0000452.00 0000000.35 0000067.70 0000001.35
0000453.00 0000000.01 0000066.06 0000001.37
0000454.00 0000000.77 0000067.64 0000001.36
0000455.00 0000000.47 0000066.26 0000001.37
0000456.00 0000000.07 0000068.29 0000001.36
0000457.00 0000000.75 0000065.93 0000001.37
0000458.00 0000001.27 0000067.28 0000001.37
0000459.00 0000000.74 0000065.81 0000001.38
0000460.00 0000000.55 0000067.44 0000001.37
0000461.00 0000000.02 0000065.85 0000001.38
0000462.00 0000004.13 0000067.35 0000001.37
0000463.00 0000000.56 0000065.89 0000001.38
0000464.00 0000001.21 0000068.02 0000001.38
0000465.00 0000000.51 0000065.72 0000001.38
0000466.00 0000003.98 0000067.01 0000001.38
0000467.00 0000000.48 0000065.67 0000001.38
0000468.00 0000001.04 0000067.16 0000001.37
0000469.00 0000000.67 0000065.64 0000001.38
0000470.00 0000001.79 0000067.16 0000001.38
0000471.00 0000000.63 0000065.70 0000001.38
0000472.00 0000001.00 0000067.11 0000001.38
0000473.00 0000000.58 0000065.58 0000001.38
0000474.00 0000001.75 0000066.80 0000001.39
0000475.00 0000000.06 0000065.62 0000001.38
0000476.00 0000000.42 0000066.90 0000001.38
0000477.00 0000000.20 0000065.55 0000001.38
0000478.00 0000001.70 0000066.88 0000001.38
0000479.00 0000000.42 0000065.24 0000001.38
0000480.00 0000000.08 0000066.30 0000001.37
0000481.00 0000001.46 0000064.94 0000001.38
0000482.00 0000000.79 0000066.71 0000001.36
0000483.00 0000000.67 0000065.61 0000001.37
0000484.00 0000000.55 0000067.61 0000001.35
0000485.00 0000000.07 0000065.99 0000001.37
0000486.00 0000000.50 0000067.55 0000001.36
0000487.00 0000000.50 0000066.14 0000001.37
0000488.00 0000000.30 0000068.14 0000001.35
0000489.00 0000000.71 0000065.80 0000001.37
0000490.00 0000001.47 0000067.14 0000001.37
0000491.00 0000000.66 0000065.70 0000001.38
0000492.00 0000000.63 0000067.41 0000001.36
0000493.00 0000000.01 0000065.70 0000001.38
0000494.00 0000004.13 0000067.33 0000001.37
0000495.00 0000000.44 0000065.87 0000001.38
0000496.00 0000001.04 0000067.89 0000001.37
0000497.00 0000000.72 0000065.64 0000001.38
0000498.00 0000004.06 0000066.94 0000001.38
0000499.00 0000000.40 0000065.57 0000001.39
0000500.00 0000000.82 0000067.17 0000001.37
0000501.00 0000000.58 0000065.55 0000001.39
0000502.00 0000001.78 0000067.02 0000001.38
0000503.00 0000000.80 0000065.64 0000001.38
0000504.00 0000001.24 0000067.01 0000001.37
0000505.00 0000000.70 0000065.50 0000001.38
0000506.00 0000001.82 0000066.74 0000001.39
0000507.00 0000000.07 0000065.54 0000001.38
0000508.00 0000000.56 0000066.84 0000001.38
0000509.00 0000000.01 0000065.42 0000001.38
